,Key Word,Username,User_ID,Datetime,Favorite_count,Geo,Coordinates,Label,Text,Unnamed: 9,Unnamed: 10,Unnamed: 11
1677,bitch,naslanafan,1.33E+18,11-11-2020 07:26,0,,,0,maybe i should block u,,,
2478,cunilingus,Jurisdoc3,1.33E+18,08-11-2020 18:34,0,,,0,I feel sorry for this vikings guy- his entire identity is about his gang mentality. His teams. We all know the unspoken team- fat daddy’s boys with small 🍄. Just. Learn. Cunilingus.,,,
730,ass,H44dTae,1.33E+18,11-11-2020 06:55,0,,,1,Folks crackin bro ass 😂😂,,,
3522,suck,TomJack38707857,1.33E+18,11-11-2020 13:02,0,,,1,I wood suck them sexy nylon feet,,,
985,Bad Fuck,howdydamian,1.33E+18,11-11-2020 06:47,0,,,0,I WANNA LIVE IN SAN ANTONIO SO BAD FUCK DALLAS,,,
225,Aroused,DaniDoyle11,1.33E+18,10-11-2020 22:37,0,,,1,"Aroused, then?",,,
10,Aroused,jordansaweirdo,1.33E+18,11-11-2020 05:38,0,,,0,This rumor has aroused our interest.,,,
1727,bitch ass,fatt15_,1.33E+18,11-11-2020 06:43,0,,,0,these bitch ass niggas be hating they want be seen bad,,,
1076,Bad Fuck,HOeNE0s,1.33E+18,11-11-2020 06:43,1,,,0,I live in the Philippines BUT IM BAD AT TAGALOG WHAT THE FUCK,,,
1895,boobies,akhoK_,1.33E+18,11-11-2020 06:39,1,,,0,Why do guys love boobies soo much??,,,
1407,bastard,Kene_n02,1.33E+18,11-11-2020 07:25,0,,,0,"Don’t go around breaking people’s heart ,don’t be a bastard",,,
975,Bad Fuck,Shyynnee2,1.33E+18,11-11-2020 07:01,0,,,0,i be wanting to be delusional so bad when it come to the nigga but it’s not in me my ego to high i be on some fuck that nigga type shit 😂😭💯,,,
1276,Balls,RN_abdullah99,1.33E+18,11-11-2020 07:23,0,,,0,"Dude: ""I'm not losing this game of chicken!"" Cat: ""Steve! STEVE!!! I'm on my 9th life, this isn't funny!"" Dog: ""They already…",,,
1690,bitch,natuleeexo,1.33E+18,11-11-2020 07:26,0,,,1,tell a bitch or a hater to suck on my dick,,,
3190,pussie,msannabanana,1.33E+18,10-11-2020 15:45,1,,,1,my favorite part about all this is that i get to fukk y'all nigas in peace cause group chat twitter thinks my pussie broken.,,,
868,assbandit,Muhammad_4525,1.32E+18,04-11-2020 21:25,1,,,0,"What's the highest number of books you've read in a year, mine was 184.",,,
2996,eat pussy,PanamaDuce,1.33E+18,11-11-2020 08:00,0,,,1,I could just.....eat the pussy to moistness. But I mean....i was gon do that anyway.,,,
3309,skank fuck,lush_corner,1.32E+18,02-11-2020 18:59,1,,,0,Every year news outlets are like: DAYLIGHTS SAVINGS SHOULD WE KEEP IT?? And every year everyone is like: fuck no! Don't be a cute skank! But nothing ever happens. And we just keep on collectively hating it.,,,
194,Aroused,VyralAntidote,1.33E+18,10-11-2020 23:58,4,,,1,"I am aroused, scared, and most of all concerned",,,
3155,prostitute,Brain_Pwr,1.33E+18,11-11-2020 03:27,0,,,1,"Kamala Harris is an example to young women, in how to obtain their dream job. Have sex repeatedly with an old married man who can give you that job.The American Prostitute's Dream.",,,
678,ass,J0urn0kayy_,1.33E+18,11-11-2020 06:55,0,,,0,"Rico you always made me feel like a BAD BITCH. i jus love how you express your self. you made it comfortable for me to express myself in this CRUEL, MEAN ass world. i love you RICO!!!!!",,,
2715,cunthole,LiquidMarmoset,1.33E+18,07-11-2020 19:06,2,,,1,#CNN SUCK MY DICK YOU FUCKING BLOOD GUSHING CUNTHOLE DONT TELL US WHAT WE’RE CELEBRATING ABOUT!!,,,
1239,Balls,GabeTheDeadFish,1.33E+18,11-11-2020 07:05,5,,,0,Ubisoft has no balls.,,,
2751,Dick for brains,zjgifford,1.33E+18,08-11-2020 04:05,1,,,0,I’m sorry Brian Kelly has dick for brains my god,,,
966,AssMan,DeeHeath44,1.33E+18,07-11-2020 14:15,0,,,1,I just need you down my throat daddy,,,
2819,dyke,Santanaafilmz,1.33E+18,11-11-2020 10:28,0,,,0,Lmaooooo they said he dress like a dyke 😭😭😭😭😭,,,
3124,fist fuck,FAandroid1115,1.33E+18,11-11-2020 01:18,1,,,1,&gt;&gt;Come and fist/fuck my hairy shark cheeks,,,
1857,bite me,clowntotoko,1.33E+18,11-11-2020 06:43,0,,,1,Im going to bite him and then leave lipgloss in his car so he remembers me 💫💫💫,,,
2058,boobs,ellalcolmanx,1.33E+18,11-11-2020 08:07,0,,,0,Everyday “need a girl with small boobs and a big bum” but ask yourself what do you bring to the table?,,,
1248,Balls,KhayalAzad,1.33E+18,11-11-2020 07:26,0,,,0,Well it seems like she has got them by the balls at the moment.,,,
3256,semen,hyacinth_boi,1.33E+18,11-11-2020 02:51,0,,,1,You look like semen,,,
2329,Clit,Thurid__,1.33E+18,11-11-2020 07:36,0,,,1,"If nobody got me ,ik my clit got me",,,
265,Aroused,RainShineGift,1.33E+18,10-11-2020 21:19,0,,,1,"He uses spit in his art Spittle serves him well. His saliva globs his fingers When he is aroused or if he needs to turn pages. He marks his DNA, as a dog pisses on trees. Projectile pearls splash, emitted from his oral cavity into every nook. Kinda gross,unexpected fomentation.",,,
1778,bitchtits,jackassnumber9,1.32E+18,06-11-2020 00:58,1,,,0,I forgot that bitchtits is in my autocorrect,,,
682,ass,NTrexit,1.33E+18,11-11-2020 06:55,0,,,0,please delete this ass clown’s account. PLEASE.,,,
8,Aroused,KarinaAngelique,1.33E+18,11-11-2020 05:59,0,,,0,trying to understand why white women are aroused by men in maid outfits,,,
3375,slut,Jon72092425,1.35E+18,09-01-2021 09:19,0,,,1,She's A beautiful slut,,,
3276,skank bitch,youngshorty191,1.33E+18,09-11-2020 23:52,0,,,1,if you support Johnny Depp and his evidence and not that skank bitch lying hoe amber heard,,,
1463,big butt,HBiggus,1.33E+18,11-11-2020 07:30,0,,,0,Omg I'm actually thinking trump is going to do this ... Shit it's looking better and better ❤️❤️ come on big boy get that pe…,,,
2157,Breast Man,miIayonce,1.33E+18,10-11-2020 17:11,1,,,0,i stopped when i was young after about 8 years bc i heard i would “swim off my breast” and get broad shoulders. Safe to say i have no brezz and man shoulders,,,
1873,blowjob,swkinkbot,1.33E+18,11-11-2020 08:05,0,,,1,breha organa has a blowjob kink,,,
2719,cuntlicker,Fieldingedlow,1.33E+18,08-11-2020 00:36,3,,,1,And I'm the 5th cuntlicker in Big Little Lies!,,,
411,Aroused,alleraia,1.33E+18,10-11-2020 17:05,6,,,1,and ur not aroused by it? cis women are weird,,,
3529,suck,porn_click_870,1.33E+18,11-11-2020 13:00,0,,,1,suck me . . . .,,,
1542,big butt,BroRekord,1.33E+18,10-11-2020 17:20,2,,,1,"Phat butts or Phat dick? — Always butts first~ Nothing wrong with dicc, still love it but a big wide butt on my timeline (or my DMs 👉👈) is just the best imo",,,
2706,cunthole,RUDEBOYLEB,1.33E+18,09-11-2020 18:14,2,,,0,That now slap me in the back of my head yuh cunthole 😬,,,
824,ass cowboy,rtb____,1.33E+18,10-11-2020 01:48,2,,,0,Never forget when Todd Haley called a toss on 4th and inches and Steelers fans beat his ass after the game at Tequila Cowboy so bad that he had to coach from the press box the next week,,,
2140,Breast Man,mcmullje10,1.33E+18,11-11-2020 00:24,0,,,0,Newt Gingrich should be prosecuted for any number of things but especially for divorcing his wife when she was in the hospital with breast cancer. Such a despicable man has nothing of value to say.,,,
934,assfucker,vibribbon__,1.32E+18,05-11-2020 21:47,4,,,1,becoming chevy wolfs assfucker now,,,
575,ass,wasabiB0t,1.33E+18,11-11-2020 06:55,0,,,0,I hate halloweenstupid ass holiday remember when holidays were about important things.,,,
1137,Bad Fuck,Simmy_M_,1.33E+18,11-11-2020 06:52,0,,,1,“Bad bitch fuck him til he cry like a wimp”😭🔥,,,
140,Aroused,BoyManand,1.33E+18,11-11-2020 04:52,0,,,1,Rest well...and aroused.,,,
1198,Balls,IOZETTAI,1.33E+18,11-11-2020 07:19,0,,,0,NAW THOSE R TENTACLES but maybe octupuses have testicles / balls too idk 😁,,,
3172,puss,_kelsaayyy,1.33E+18,11-11-2020 05:12,0,,,1,Cause you be popping that puss.,,,
254,Aroused,SeductiveSusan,1.33E+18,10-11-2020 21:39,0,,,1,I might look and act like a cute schoolgirl today. But you understand that this is merely a disguise to lull you into a se…,,,
3122,fingerfucking,iamtricia118,1.33E+18,09-11-2020 18:09,0,,,1,"So I was fingerfucking this babe in a taxi then my neighbor shouted ""Gwe, mukazzi wo ojja mukwatilira ewakkka"". You guys…",,,
510,Aroused,CitizenNappa21,1.33E+18,10-11-2020 13:27,1,,,1,I should not be aroused by this,,,
270,Aroused,UchihaTricia,1.33E+18,10-11-2020 21:11,0,,,1,"(She moans softly, getting a bit aroused)",,,
816,ass cowboy,Greenandpinksu1,1.33E+18,10-11-2020 03:07,0,,,0,Cowboy up America and take this leftist Hollywood kids ass elitists down!,,,
2075,boobs,eveiiamor,1.33E+18,11-11-2020 07:53,0,,,0,I’m having back problems because of my boobs 😩 I just want a boob reduction and I’ll be happy 😭😭,,,
2733,dick beaters,LaBourrage,1.32E+18,04-11-2020 00:39,0,,,0,Transcripts. Don't keep putting your dick beaters on me. Period. I don't owe nobody a damn thing 💯,,,
564,ass,1DirtyDeee,1.33E+18,11-11-2020 06:56,0,,,0,Lmao niggaa can’t take a ass whooping,,,
2362,cock block,DaGubster,1.33E+18,10-11-2020 20:08,1,,,1,if i was a girl and wanted to suck your cock would u block me,,,
1892,boobies,G_Switzer,1.33E+18,11-11-2020 07:00,0,,,0,The boobies will be next!,,,
2294,Chode,tunacan_chode,1.33E+18,10-11-2020 05:12,0,,,1,Me: yeah so my cock is too fat and my attention span too short to put a condom on my ridiculously fat chode My boss: 😐Why are you in my office?,,,
687,ass,InannaJustice,1.33E+18,11-11-2020 06:55,0,,,0,Totally bad ass,,,
1760,bitchtits,Mojoriffic12,1.33E+18,10-11-2020 00:43,1,,,0,"LOL..bitchtits is new to me, but I’m going to steal it now",,,
1499,big butt,xLiiingredx,1.33E+18,11-11-2020 07:14,0,,,1,"I'm like look bae, my butt getting big 🌅🍑",,,
2583,cunt,boydiemojito,1.33E+18,11-11-2020 07:37,0,,,0,If theres a Cunt of the Decade competition.,,,
3134,prostitute,Thotwench,1.33E+18,11-11-2020 03:14,30,,,0,Something about old white men approaching me always makes me feel like a prostitute.It happens way too often and I don't like it.,,,
1364,Balls,S4T0Rl,1.33E+18,11-11-2020 06:56,0,,,1,BALLS SQUEEZE HIS BALLS TILL THEY BPOP,,,
1626,bitch,alyssamr97,1.33E+18,11-11-2020 07:26,0,,,0,My moms smartest advice for me is “pick and choose your battles” because a bitch like me is always ready to go to war with anyone!,,,
1496,big butt,Stormrider1973,1.33E+18,11-11-2020 06:04,0,,,0,Hey guys I know we've been like quiet af lately sorry bout dat just wanted luk that me &amp; big shiny leather butt 🍑 wish y…,,,
1482,big butt,juancarlos1diaz,1.33E+18,11-11-2020 06:24,0,,,0,NIGHTLY REMINDER YOU CAN DO ANYTHING YOU SET YOUR MIND TO SO BE SURE TO DREAM BIG AND WORK YOUR BUTT OFF TO MAKE IT HAPPE…,,,
1428,bastard,macwillow5,1.33E+18,11-11-2020 07:23,0,,,0,HANSON!! Utter bastard!! Wake up QLD FFS!!!! BREAKING: Pauline Hanson has just done a deal with the LNP to allow employe…,,,
607,ass,ogcalebg,1.33E+18,11-11-2020 06:56,0,,,0,I hope you like men that are ass’ ....cus I’m ass at everything,,,
2038,boobies,shaaamoore,1.33E+18,11-11-2020 06:12,0,,,1,"This is my most liked photo(s) bc I showed my boobies, you can’t tell me any different lol",,,
3492,sodomize,_AbbyT,1.33E+18,10-11-2020 22:59,0,,,0,Good morning to everyone except for people that rape and sodomize other people and get away with it bc they’re hiding b…,,,
851,ass cowboy,CandyAssArts,1.33E+18,11-11-2020 02:15,0,,,1,Only cowboy has an ass powerful enough to ride that stud Bento 🍑👀💦,,,
2981,eat pussy,YungTrashLord,1.33E+18,11-11-2020 08:15,0,,,1,"Let's go eat pussy, and i do not mean human private parts",,,
2250,byatch,byatch_,1.32E+18,03-11-2020 23:58,1,,,0,Lmfaooo girl she don’t gaf about them kids,,,
2604,cunt,DeanBlacke,1.33E+18,11-11-2020 09:08,0,,,0,Tbh. You are gross. No lose losing you anyway. Little cunt,,,
3055,eat pussy,almondsnjoy,1.33E+18,11-11-2020 07:26,2,,,1,I eat the pussy like vegemite,,,
3317,skank fuck,CMBlake61,1.32E+18,07-11-2020 05:08,0,,,1,HIDEN IS THE BIGGEST EMBARRESMENT TO OUR COUNTRY FOLLOWED NECK AND NECK BY THAT SKANK HO KRAMALOT HARRIS. FUCK EM,,,
1186,Balls,heiude,1.33E+18,11-11-2020 07:21,0,,,0,SEND IT OR NO BALLS,,,
1938,boobies,JustPassingBiii,1.33E+18,11-11-2020 06:17,4,,,0,Imagine being the boobies in miss Dakota’s house? Wow,,,
3218,rape,MbaiPhineas,1.33E+18,11-11-2020 06:37,0,,,0,Stop! Rape and all sorts of accusations against individuals for personal gain...,,,
454,Aroused,yesimjeremiah,1.33E+18,10-11-2020 15:17,0,,,1,I agree with this wholeheartedly however I know I’m the only one who has been physically attracted so much that the appearance alone kept me aroused and the poor performance kept me from finishing.,,,
3508,suck,Bulelwa_Nkosi,1.33E+18,11-11-2020 12:59,0,,,0,Breakups really suck.,,,
1759,bitchtits,the_spookerz,1.33E+18,10-11-2020 00:55,0,,,0,Cheers from bed bitchtits,,,
2871,eat pussy,KhozaLeroi,1.33E+18,11-11-2020 10:14,0,,,1,Eat so much pussy that my mustache pink,,,
1901,boobies,wtfviviannn,1.33E+18,11-11-2020 06:18,0,,,0,Our boobies just wanna leave our body 😭🤚🏻,,,
2491,cunnilingus,madrackcity,1.33E+18,11-11-2020 04:21,1,,,0,Cal cunnilingus send tweet,,,
2636,cunt,ProConchie,1.33E+18,11-11-2020 08:10,0,,,1,I want to cum effusively in a tight wet cunt this very instant. Nothing else would do.,,,
1093,Bad Fuck,kage_higgin,1.33E+18,11-11-2020 06:45,0,,,1,Its nice having that friend that wants to fuck you so bad even though she’s a girl and you’re gay.,,,
1575,bitch,icesuppasit,1.33E+18,11-11-2020 07:27,0,,,0,bitch we have 9 sugar daddies 💅🏻,,,
626,ass,EyeAmPurity,1.33E+18,11-11-2020 06:56,0,,,0,They mad about that ass whooping we gave out on Sunday lmaooooo,,,
2824,eat me,JYPEJEONGYEON,1.33E+18,11-11-2020 10:50,0,,,0,WAIT LET ME EAT I’LL HE BACK HAHAHA 10 MINUTES,,,
1072,Bad Fuck,Akshamatics,1.33E+18,11-11-2020 06:44,0,,,0,"I can tell myself all day ""be heartless, fuck em"" but in all reality, I have a big heart and can't treat people bad.",,,
224,Aroused,Airyn79,1.33E+18,10-11-2020 22:38,7,,,1,Well....I'm aroused,,,
2585,cunt,SOS149,1.33E+18,11-11-2020 09:15,0,,,0,Day going great. I just saw Sam Newman at an intersection in his Bentley and pissed him off by yelling “oh fuck it’s tha…,,,
1862,bite me,Cor_eee,1.33E+18,11-11-2020 06:31,1,,,1,Bitches bite me so I had to put them on a diet 🤪,,,
1817,bite me,sashaspeaksja,1.33E+18,11-11-2020 07:26,0,,,0,the forty leg bite really traumatized me yo,,,
3197,pussie,Ya_Highness,1.33E+18,07-11-2020 19:27,1,,,1,She said she want a French man to talk that oui oui in her pussie lol,,,
2802,Dick Licker,zebra87472245,1.33E+18,10-11-2020 14:39,0,,,0,Ronnie Jackson’s a dick licker!,,,
587,ass,ChubbyBunny345_,1.33E+18,11-11-2020 06:54,0,,,0,them dirty ass teeth,,,
790,ass,Quophi_DC,1.33E+18,11-11-2020 06:55,0,,,1,They say men like smart women. Well maybe some men 😅 if you want to get a good man in this Ghana dierr you have to grow y…,,,
3067,eat pussy,GeminiJayy_,1.33E+18,11-11-2020 07:07,1,,,1,I don’t be eating ass either lol. I’ll eat some pussy any day tho,,,
3238,schlong,imnotapasta,1.33E+18,10-11-2020 20:39,1,,,1,"His dick is so big tho, why is everyone topping him when his massive schlong is right there??",,,
1260,Balls,priteshnpatel86,1.33E+18,11-11-2020 07:24,0,,,0,Rahul Gandhi is that 20-20 batsman who comes down to bat in 18th over and play 8 dot balls,,,
1663,bitch,ChibeesF,1.33E+18,11-11-2020 07:26,0,,,0,best friend ysl 4L bitch,,,
2868,eat pussy,James71140434,1.33E+18,11-11-2020 10:25,0,,,1,if you'd eat my pussy,,,
415,Aroused,ianc14,1.33E+18,10-11-2020 16:53,0,,,1,"You think you can read someone's orientation in a fucking laboratory? Because heres the thing, this test idea is flawed! I find images of women more arousing, either they are trans or cis. Yet at the same time, if I'm physically with a man i will be aroused.",,,
209,Aroused,Gravy_boat69,1.33E+18,10-11-2020 23:08,0,,,1,"Stop narmak, we can only get so aroused.",,,
2790,Dick for brains,1MCLegend,1.32E+18,04-11-2020 15:39,4,,,1,Most Ladies always stay in Toxic and abusive relationship because 1. Where do I start from? 2. I Love him and his Big Dick! 3. I'll pray for him to Change. The amount of Slaps most Ladies have received have reset their brains.,,,
1414,bastard,AkbarFazel,1.33E+18,11-11-2020 07:24,0,,,0,"Judging by the voice (which I presume hears in her head), Papa Smurf is taking over the world.. Lil' Blue Bastard (See what I did there) 😆",,,
1154,Ball licker,Walther56138365,1.33E+18,09-11-2020 17:28,0,,,0,And your like a democrat ball licker,,,
1168,Balls,iPumpRope,1.33E+18,11-11-2020 07:24,0,,,0,I want the worst picture they can find. Like balls out in the pic bad,,,
3409,slut,walls1111,1.35E+18,09-01-2021 08:52,0,,,1,Yesss straight slut me out I wanna feel over nasty when I’m done 😭😭☠️☠️,,,
2902,eat pussy,BigDickNeffla,1.33E+18,11-11-2020 09:37,0,,,1,I’m trying to eat some pussy 👅💦 rn like fuck who need they pussy ate?,,,
2406,Cockhead,Jackbilly441,1.33E+18,11-11-2020 07:16,0,,,0,Nicely said yes a cockhead,,,
1415,bastard,EricWhiting20,1.33E+18,11-11-2020 07:24,0,,,0,stop trying to circumvent the election process you cheating bastard. Your party has committed mass fraud against the people of the United States and you all should rot in prison.,,,
2014,boobies,RhiStomps,1.33E+18,11-11-2020 07:10,3,,,1,Oh these? my boobies? my massive fucking titties? my super stuffed up milkies? my honker bonker doinky boinkies? my fucking fabric stretching wind flapping gravity-,,,
1762,bitchtits,Myviolentheart_,1.33E+18,09-11-2020 13:41,2,,,0,"Cry harder, bitchtits",,,
2507,cunnilingus,LogosBolo,1.33E+18,11-11-2020 03:53,0,,,1,Fonda Smiles 2 Shit on us Greta’s Senile Extension fanning her backwash long debunked highlights her liberal pro Pedo creepy…,,,
2816,dyke,NicShears,1.33E+18,11-11-2020 10:33,0,,,0,Dyke with a hint of Barbie 😜,,,
93,Aroused,Nudele3,1.33E+18,10-11-2020 17:13,3,,,0,Glad you're back! What's wrong with Your banner has probably aroused some stupid AI bot. 😁,,,
803,ass cowboy,akechitime,1.33E+18,11-11-2020 01:09,1,,,0,I’m too scared to ask what’s going on with hifumi’s prep cowboy looking ass. Doppo looks like a SoundCloud rapper eboy. Jakurai needs to accept the fact that he’s an old man and stop trying to be hip and trendy his outfit hurts,,,
996,Bad Fuck,idabgrams10,1.33E+18,11-11-2020 07:11,0,,,0,"I’m at that age where I got nothing bad to say about nobody... I either fuck with you 🤝 or I keep my distance that’s just my mindset, I don’t care about nobody’s business but mine🤷🏽‍♂️",,,
1929,boobies,jorizo710,1.33E+18,11-11-2020 06:40,0,,,0,Just minding my business on FaceTime and here comes Turtle making biscuits on my boobies.,,,
2942,eat pussy,skumbagdeuce,1.33E+18,11-11-2020 08:48,1,,,1,Let’s try something new let me put your phone under the bed and have you reach for it while i eat ya pussy from the bacc ...,,,
3245,semen,atul1chaturvedi,1.33E+18,11-11-2020 07:10,0,,,0,"Artificial insemination with sex-sorted semen increases the pregnancy rate in cattle, thereby improving the quality &amp; quan…",,,
597,ass,_AndersonKnight,1.33E+18,11-11-2020 06:56,0,,,0,Small ass world omg 😂,,,
1453,big butt,lifewithshar,1.33E+18,10-11-2020 23:14,26,,,0,My cat has a big butt. He must take after his momma.,,,
2013,boobies,Michell84406202,1.33E+18,11-11-2020 07:11,0,,,1,#boobies I feel so incredible when you press your penis against me. 💘,,,
279,Aroused,Katze1342,1.33E+18,10-11-2020 20:57,1,,,1,"Look at me now I'm fully charged when slightly aroused my dick is hard, I'll soon be out without a trace, now take this L right to your face",,,
101,Aroused,GHaZ_NAwE77,1.33E+18,10-11-2020 16:38,0,,,0,"equipment, engineering barriers, sapper protective equipment. Video surveillance equipment, scuba diver's equipment and tech…",,,
1424,bastard,DavidKehoe10,1.33E+18,11-11-2020 07:23,0,,,0,HANSON!! Utter bastard!! Wake up QLD FFS!!!! BREAKING: Pauline Hanson has just done a deal with the LNP to allow employe…,,,
1140,Ball licker,mscanny51,1.33E+18,11-11-2020 00:58,0,,,0,I agree with the ball licker part,,,
712,ass,ChatAboutBri,1.33E+18,11-11-2020 06:56,0,,,1,"Bitches are real live WEIRD AF! 💀😂 , I seem to amaze myself one reality clicks in my head .. my ass was too nice . But alllat nice shit out the window . Correcting everything from here on out!",,,
1440,big butt,buttcatty,1.33E+18,11-11-2020 06:02,0,,,0,he butt too big for he goddamn cat,,,
2939,eat pussy,khaylabl,1.33E+18,11-11-2020 08:52,0,,,1,Bitches don’t know if they wanna eat my pussy or make shit up about me lmao,,,
1164,Balls,derekwatters18,1.33E+18,11-11-2020 07:26,0,,,0,The campaign will see. The balls in their court,,,
2072,boobs,al4n00d1es,1.33E+18,11-11-2020 07:59,0,,,0,I just wana wear a tube shirt and not have my boobs hurt is that too much to ask for?,,,
1538,big butt,TICS72873737,1.33E+18,10-11-2020 23:14,0,,,1,"Hey babygirl... I got a dick so big, it can go up your butt AND AROUND THE CORNER #horsdickdotmpeg",,,
3185,pussie,bridgewaterbb1,1.32E+18,05-11-2020 00:41,1,,,0,Twitter! Why are there dick$ and pussie$ on my page. If you can show it I can say it!!!!,,,
169,Aroused,Southern_Corn,1.33E+18,10-11-2020 23:43,1,,,1,aroused rn,,,
1413,bastard,davidokolitweet,1.33E+18,11-11-2020 07:24,0,,,0,That Aguero Last Minute Goal... See My team was 90 seconds from winning league again. That Argentine bow legged bastard n…,,,
689,ass,DipBunny0613,1.33E+18,11-11-2020 06:55,0,,,0,"Chanyeol didn't work his ass off as a singer, rapper, producer, songwriter, model, actor, and all the other titles he…",,,
272,Aroused,WillSmi67377504,1.33E+18,10-11-2020 21:09,1,,,1,I’m scared and aroused,,,
2233,butt,HarvThaGreat,1.33E+18,11-11-2020 07:50,0,,,1,Ima put my thumb in her butt 👍🏽,,,
471,Aroused,soso_alisa,1.33E+18,10-11-2020 14:46,0,,,1,"A woman’s vagina expands when she’s aroused and her clitoris becomes larger when she is aroused... it’s normal, and if it h…",,,
1124,Bad Fuck,vathecoolkid,1.33E+18,11-11-2020 05:04,0,,,1,"I tell her meet in the bathroom, hold up better yet my bedroom, I call that my VIP, fuck a bad bitch, get some head room!",,,
108,Aroused,JokrRainbow,1.33E+18,10-11-2020 16:17,0,,,0,"I ran into a guy during gambit named ""Aroused Giraffe."" I think that takes the cake lmao.",,,
2848,eat pussy,kimyojungbitch,1.33E+18,11-11-2020 10:50,0,,,1,Anyone else eat the cheese in their pussy?,,,
2612,cunt,jjelf,1.33E+18,11-11-2020 09:07,0,,,0,Keir Starmer’s a cunt. Pass it on. That should get me banned..,,,
1634,bitch,adoreabbyxx,1.33E+18,11-11-2020 07:26,0,,,0,"my nigga only talks on twitter but in real life he says “ you got it , you got it “ SHUT YO BITCH ASS UP 😧",,,
608,ass,_AdornLove,1.33E+18,11-11-2020 06:56,0,,,0,#Gramfam #GramFam24 MY FRIENDS GOT RAPED MY THESE TWO GROWN CLOWN ASS NIGGAS IN RUSTON and they be on Grambling campus so…,,,
3278,skank bitch,celerystixx_,1.33E+18,09-11-2020 23:01,6,,,1,"to the lady I rung up yesterday, if it bothered you that your husband was going to see other women you should have left him at home with a blindfold on instead of whispering that I was a skank for having tits. hope ur heart heals ya bitter bitch !",,,
2712,cunthole,mekaa34,1.33E+18,10-11-2020 22:12,0,,,1,Girl suck yuh rasshole.. birthday greeting cunthole,,,
417,Aroused,HolliMaeJohnson,1.33E+18,10-11-2020 16:50,1,,,1,I was actually aroused.,,,
957,asslicker,OnweChristian8,1.33E+18,07-11-2020 16:05,0,,,1,14 and half times 😂😂😂 lizard asslicker,,,
2997,eat pussy,kaylinjmenez,1.33E+18,11-11-2020 08:00,0,,,1,"» that's why 𝒉𝒆 𝒍𝒊𝒌𝒆𝒔 𝒕𝒉𝒆 𝒃𝒂𝒅 𝒈𝒊𝒓𝒍𝒔 𝒍𝒊𝒌𝒆 𝑲𝒂𝒍𝒊, every time he sees me, he wanna eat me, he be actin' up, he always tryna…",,,
1384,bastard,ToonzPhil,1.33E+18,11-11-2020 07:24,0,,,0,"Don’t go around breaking people’s heart ,don’t be a bastard",,,
394,Aroused,tannercoerr,1.33E+18,10-11-2020 17:41,0,,,1,I am so aroused,,,
1716,bitch ass,katelynfiorell1,1.33E+18,11-11-2020 06:53,0,,,0,all you bitch ass hoes can have him :),,,
806,ass cowboy,supercooloscar,1.33E+18,11-11-2020 00:35,0,,,0,this what u talkin bout ♿️ i seen you rolling down the street in a wheelchair and a cowboy was chasing you…,,,
1257,Balls,diamonatrixx,1.33E+18,11-11-2020 07:25,0,,,0,if i have to hear nexus talk about hamsters having massive balls one more time i'm ending it all,,,
3047,eat pussy,CHARLIEACROE,1.33E+18,11-11-2020 07:29,0,,,1,U Gotta Be A Brave Nigga To Eat A Bitch Pussy Who Sell It 😝🤣,,,
3511,suck,BNose42,1.33E+18,11-11-2020 12:58,1,,,0,"For an engineer, you suck at math!!!",,,
